Generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,78.0,11.31,9.0,1.0,13.322683663586702
1,78.0,13.26,9.0,0.0,14.173651611352666
2,99.0,18.64,10.0,0.0,21.77775011336111
3,99.0,25.15,12.0,0.0,27.301785655887056
4,99.0,35.12,14.0,0.0,30.12616138840128
5,99.0,46.93,52.0,0.0,30.208692457635433
6,184.0,62.93,78.0,0.0,29.505001270970993
7,184.0,65.92,78.0,1.0,30.41436502707233
8,184.0,73.15,80.0,1.0,29.62579112867705
9,184.0,73.14,80.0,0.0,32.90684427288645
10,184.0,80.72,81.0,6.0,33.746727248727396
11,184.0,88.82,91.0,6.0,38.85701481071339
12,184.0,94.17,99.0,1.0,43.6618952863936
13,184.0,101.52,106.0,6.0,44.89531824143805
14,184.0,111.13,120.0,6.0,44.006057537570896
15,184.0,112.02,121.5,6.0,50.19342187976429
16,184.0,120.42,133.0,6.0,51.778215496480755
17,191.0,122.21,144.0,6.0,54.54233126664095
18,191.0,131.01,144.0,6.0,50.80403428862712
19,191.0,127.24,148.0,1.0,57.80486484717355
20,191.0,134.06,153.0,1.0,58.06923798363467
21,191.0,137.92,155.0,1.0,55.9250713008039
22,191.0,125.75,159.5,1.0,69.31902696951249
23,191.0,133.6,165.0,1.0,65.77370295186367
24,191.0,134.8,178.0,1.0,69.3007936462491
25,191.0,136.37,184.0,6.0,68.55080670568363
26,191.0,134.26,184.0,6.0,69.00501720889577
27,191.0,137.82,184.0,6.0,70.16443258517808
28,191.0,146.29,184.0,6.0,63.34655397099356
29,191.0,150.37,184.0,1.0,62.03864199029504
30,191.0,140.33,184.0,1.0,69.63333325355035
31,191.0,151.29,191.0,6.0,63.21507652451273
32,191.0,152.94,191.0,6.0,60.509473638431196
33,191.0,148.91,191.0,12.0,62.3082811510637
34,191.0,155.4,191.0,6.0,62.10571632305676
35,191.0,154.93,191.0,6.0,62.45946765703339
36,191.0,159.31,191.0,6.0,59.78590051174273
37,191.0,154.22,191.0,6.0,61.43119403039469
38,191.0,149.22,191.0,1.0,63.474023033048724
39,191.0,158.65,191.0,8.0,59.03090292380762
40,191.0,157.87,191.0,1.0,59.16259882729967
41,191.0,156.28,191.0,6.0,59.11735447396137
42,191.0,155.17,191.0,6.0,61.17958074390507
43,191.0,158.74,191.0,1.0,59.5895326378719
44,191.0,159.41,191.0,8.0,58.31639477882699
45,191.0,156.23,191.0,6.0,62.98743604878675
46,191.0,154.69,191.0,1.0,59.50272178648637
47,191.0,153.66,191.0,6.0,62.50939449394787
48,191.0,148.95,191.0,6.0,66.14852606067652
49,191.0,159.35,191.0,0.0,55.7566812140034
50,191.0,147.94,191.0,6.0,66.69944827358019
51,191.0,155.84,191.0,1.0,59.56974399810696
52,191.0,160.47,191.0,6.0,56.970598557501575
53,191.0,146.83,191.0,6.0,68.4949713482676
54,191.0,142.7,191.0,6.0,69.58613367618581
55,191.0,147.82,191.0,1.0,63.23169774725331
56,191.0,154.03,191.0,1.0,63.26886359023686
57,191.0,159.83,191.0,6.0,54.83357639257173
58,191.0,156.51,191.0,6.0,62.02023782605159
59,191.0,151.69,191.0,1.0,63.85087235112767
60,191.0,158.08,191.0,1.0,57.217249147438054
61,191.0,155.11,191.0,6.0,62.82895749572804
62,191.0,149.35,191.0,6.0,65.24482738118017
63,191.0,159.44,191.0,10.0,59.60877787708787
64,191.0,148.52,191.0,6.0,67.28112365292364
65,191.0,152.67,191.0,6.0,60.66136414555808
66,191.0,162.27,191.0,1.0,58.38490472716385
67,191.0,143.59,191.0,1.0,69.36845032145376
68,191.0,152.95,191.0,6.0,63.272486121536275
69,191.0,154.41,191.0,6.0,62.11184991609894
70,191.0,153.92,191.0,6.0,63.73486957702196
71,191.0,152.85,191.0,1.0,68.16998973155269
72,191.0,151.3,191.0,6.0,62.144589466823255
73,191.0,158.66,191.0,1.0,61.02740695785788
74,191.0,152.49,191.0,1.0,62.88871043359054
75,191.0,154.1,191.0,6.0,60.52363174826837
76,191.0,155.84,191.0,1.0,61.57803504497363
77,191.0,156.82,191.0,6.0,58.19869070692227
78,191.0,157.54,191.0,1.0,61.422214222543296
79,191.0,153.3,191.0,6.0,62.87757946995097
80,191.0,157.89,191.0,6.0,60.343002079777236
81,191.0,145.38,191.0,0.0,67.16841221883989
82,191.0,145.38,191.0,1.0,68.63814974196201
83,191.0,143.56,191.0,9.0,66.32425197467364
84,191.0,158.48,191.0,7.0,57.31203713008289
85,191.0,160.8,191.0,6.0,57.630373935972344
86,191.0,152.76,191.0,8.0,62.8861065737099
87,191.0,156.21,191.0,6.0,56.63272817020208
88,191.0,141.44,191.0,6.0,69.16058415022243
89,191.0,157.69,191.0,8.0,56.12213377981989
90,191.0,148.87,191.0,1.0,66.03963279728319
91,191.0,159.63,191.0,0.0,56.648328307197204
92,191.0,147.87,191.0,12.0,62.187563869313934
93,191.0,153.8,191.0,6.0,59.499075623071654
94,191.0,154.16,191.0,6.0,62.93738475659757
95,191.0,158.46,191.0,9.0,56.69116686045543
96,191.0,151.93,191.0,6.0,62.3440863274136
97,191.0,156.54,191.0,8.0,59.87293545501172
98,191.0,149.89,191.0,1.0,66.54425519907785
99,191.0,149.0,191.0,8.0,64.04326662499345
