Generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,11.0,3.81,5.0,0.0,2.8972228081388565
1,21.0,6.3,5.0,1.0,2.7
2,19.0,7.36,6.0,5.0,2.7731570456791665
3,15.0,7.85,7.5,1.0,2.2776083947860744
4,14.0,8.02,8.0,1.0,2.1632383132701767
5,31.0,8.91,9.0,1.0,3.234486048818266
6,32.0,9.77,9.0,5.0,3.5828898950428263
7,32.0,10.38,9.0,1.0,4.869866527945093
8,32.0,11.15,9.0,1.0,6.109623556324891
9,32.0,12.28,10.0,1.0,7.371675521887815
10,33.0,15.22,13.0,1.0,8.364902868533504
11,34.0,17.75,14.0,1.0,10.433000527173379
12,34.0,23.97,30.0,5.0,9.457753433030488
13,34.0,27.81,32.0,0.0,8.684117686904065
14,34.0,29.52,32.0,5.0,7.485292245463768
15,35.0,29.9,32.0,6.0,7.251896303726357
16,37.0,29.36,33.0,5.0,8.834613743678894
17,37.0,30.28,34.0,5.0,8.610551666414874
18,37.0,30.64,34.0,5.0,8.159068574292045
19,37.0,31.24,34.0,5.0,8.054961204127553
20,37.0,31.41,34.0,5.0,8.531230860784392
21,38.0,32.16,35.0,0.0,8.8619636650124
22,38.0,32.14,35.5,5.0,9.23040627491553
23,39.0,34.02,37.0,6.0,7.568328745502535
24,39.0,33.65,37.0,1.0,8.660687039721502
25,39.0,33.56,37.0,1.0,9.160043668018181
26,39.0,33.48,37.0,5.0,8.70801929258313
27,39.0,34.32,37.0,5.0,7.505837728062072
28,40.0,33.99,37.0,1.0,8.557447049208076
29,40.0,33.13,37.0,6.0,10.051522272770429
30,42.0,34.63,37.0,6.0,8.592618925566292
31,42.0,34.45,38.0,5.0,9.47562662835551
32,42.0,34.44,38.0,5.0,9.856287333473999
33,42.0,34.24,39.0,5.0,10.893227253665463
34,42.0,34.95,39.0,1.0,10.308612903780993
35,42.0,36.04,40.0,7.0,8.883602872708797
36,60.0,36.49,40.0,0.0,10.046387410407783
37,66.0,36.47,40.0,6.0,10.727026615050416
38,66.0,38.01,40.0,1.0,9.811722580668492
39,66.0,38.71,40.0,5.0,10.850156680896365
40,66.0,38.91,41.0,1.0,12.726425263993026
41,66.0,40.11,42.0,5.0,14.086088882298023
42,66.0,41.25,42.0,0.0,15.235731029392715
43,66.0,41.52,44.0,5.0,17.22874342486996
44,66.0,47.07,45.5,1.0,18.065024218085068
45,66.0,48.79,59.0,1.0,21.016800422519125
46,66.0,54.09,66.0,0.0,21.17125173436847
47,66.0,55.6,66.0,1.0,20.895932618574367
48,66.0,56.25,66.0,1.0,20.54184753132006
49,69.0,53.07,66.0,1.0,23.10552098525372
50,70.0,58.66,66.0,0.0,17.94280914461278
51,70.0,56.99,66.0,1.0,19.464066892610084
52,73.0,57.82,66.0,6.0,19.101507793888942
53,73.0,55.7,66.0,1.0,21.746953809671822
54,73.0,61.11,66.0,5.0,16.723573182786026
55,73.0,60.68,69.0,6.0,18.8004680792793
56,73.0,59.5,69.0,5.0,22.395758527006848
57,92.0,57.94,69.0,5.0,24.456827267656777
58,92.0,58.27,70.0,0.0,26.37303736773601
59,92.0,59.7,73.0,0.0,25.004599576877848
60,92.0,61.41,73.0,5.0,25.451166967351423
61,92.0,62.7,73.0,1.0,24.701214545038063
62,92.0,61.91,73.0,5.0,26.39245915029518
63,92.0,65.39,73.0,1.0,27.536119915485553
64,92.0,70.03,73.0,5.0,25.239039205167852
65,92.0,74.48,92.0,5.0,26.445218849538755
66,92.0,76.12,92.0,1.0,30.981375050181356
67,92.0,74.99,92.0,5.0,31.839125302055646
68,92.0,77.4,92.0,5.0,30.496557182737853
69,92.0,78.33,92.0,5.0,28.222705398313604
70,92.0,77.77,92.0,5.0,28.02672117818993
71,92.0,75.17,92.0,5.0,31.358907825369172
72,92.0,74.78,92.0,5.0,31.99111751721093
73,92.0,74.91,92.0,5.0,30.980024209157744
74,92.0,79.12,92.0,5.0,25.774126561340537
75,92.0,74.95,92.0,1.0,30.96752331072022
76,96.0,72.86,92.0,1.0,32.73500267297988
77,96.0,76.73,92.0,1.0,30.20756693280675
78,96.0,71.88,92.0,5.0,34.19832744448185
79,96.0,72.78,92.0,1.0,34.48639731836308
80,96.0,74.38,92.0,5.0,33.47619452685744
81,96.0,79.29,92.0,5.0,27.436579597318616
82,106.0,77.37,92.0,5.0,30.59335058472674
83,121.0,77.55,92.0,1.0,32.00949078007959
84,121.0,81.26,92.0,5.0,28.682614943550735
85,121.0,76.02,92.0,5.0,35.23690678819581
86,121.0,80.19,96.0,1.0,34.392352347578665
87,121.0,79.48,96.0,5.0,35.81465621781116
88,140.0,77.93,96.0,5.0,40.0223075296765
89,218.0,85.19,96.0,5.0,39.609770259369085
90,218.0,86.21,98.0,5.0,42.57001174535896
91,218.0,91.94,105.0,5.0,45.67905865930251
92,218.0,91.02,112.0,5.0,52.805298976523176
93,218.0,102.21,121.0,5.0,52.059637916528004
94,218.0,111.37,121.0,5.0,55.82090199916156
95,218.0,106.99,121.0,1.0,61.02581339072835
96,229.0,116.57,124.0,5.0,61.73836003652834
97,229.0,129.04,140.0,5.0,67.81414601688942
98,229.0,134.2,155.0,6.0,76.1111030008106
99,229.0,147.2,159.0,5.0,78.84884273088603
