Generation,Max Fitness,Mean Fitness,Median Fitness,Min Fitness
0,22.0,2.91,1.0,0.0
1,25.0,5.43,5.0,0.0
2,21.0,6.97,5.0,4.0
3,22.0,8.97,7.0,5.0
4,25.0,9.17,8.0,0.0
5,22.0,10.57,11.0,5.0
6,17.0,11.47,11.0,5.0
7,19.0,12.15,13.0,0.0
8,35.0,14.09,14.0,1.0
9,35.0,15.26,14.0,5.0
10,35.0,15.18,14.0,5.0
11,41.0,18.31,17.0,0.0
12,44.0,19.9,17.0,1.0
13,49.0,24.95,26.0,5.0
14,49.0,30.96,33.0,5.0
15,49.0,35.1,35.0,5.0
16,49.0,37.7,40.0,5.0
17,53.0,40.28,41.0,1.0
18,53.0,42.09,43.0,1.0
19,68.0,46.3,49.0,14.0
20,68.0,45.28,49.0,5.0
21,71.0,48.19,49.0,5.0
22,71.0,50.36,49.0,8.0
23,77.0,55.74,53.0,5.0
24,106.0,60.64,68.0,5.0
25,135.0,64.95,68.0,5.0
26,135.0,63.46,68.0,0.0
27,135.0,68.5,71.0,8.0
28,135.0,77.03,71.0,5.0
29,135.0,80.66,77.0,6.0
30,136.0,96.18,81.0,6.0
31,136.0,107.22,129.0,6.0
32,137.0,120.6,135.0,5.0
33,137.0,123.01,135.0,5.0
34,137.0,122.31,135.0,0.0
35,185.0,123.92,135.0,5.0
36,185.0,121.08,135.0,5.0
37,185.0,123.26,135.0,1.0
38,185.0,126.06,136.0,5.0
39,209.0,128.04,136.0,5.0
40,209.0,131.44,136.0,5.0
41,209.0,140.05,137.0,1.0
42,247.0,150.24,137.0,7.0
43,252.0,168.04,185.0,5.0
44,252.0,177.3,185.0,5.0
45,252.0,183.05,185.0,0.0
46,252.0,189.93,185.0,5.0
47,257.0,202.02,228.0,6.0
48,257.0,219.23,237.0,1.0
49,257.0,225.49,249.5,5.0
50,257.0,227.39,252.0,7.0
51,265.0,230.54,252.0,8.0
52,265.0,229.71,252.0,9.0
53,269.0,237.66,255.0,8.0
54,292.0,232.35,256.5,5.0
55,313.0,237.18,257.0,5.0
56,313.0,238.44,257.0,6.0
57,313.0,240.11,257.0,7.0
58,332.0,250.0,260.0,5.0
59,332.0,246.01,269.0,5.0
60,332.0,269.31,292.0,5.0
61,498.0,277.98,292.0,0.0
62,498.0,292.99,293.0,5.0
63,498.0,291.8,306.0,5.0
64,500.0,313.9,316.0,8.0
65,500.0,314.19,322.0,1.0
66,500.0,305.29,332.0,0.0
67,500.0,338.24,332.0,1.0
68,500.0,371.95,349.0,1.0
69,500.0,410.27,441.0,5.0
70,500.0,435.57,500.0,5.0
71,500.0,438.98,500.0,5.0
72,500.0,441.31,500.0,5.0
73,500.0,457.65,500.0,1.0
74,500.0,440.73,500.0,5.0
75,500.0,436.19,500.0,5.0
76,500.0,430.02,500.0,5.0
77,500.0,424.65,500.0,5.0
78,500.0,429.89,500.0,5.0
79,500.0,431.24,500.0,0.0
80,500.0,422.92,500.0,5.0
81,500.0,445.98,500.0,5.0
82,500.0,428.53,500.0,4.0
83,500.0,457.2,500.0,5.0
84,500.0,455.69,500.0,5.0
85,500.0,461.85,500.0,9.0
86,500.0,440.98,500.0,7.0
87,500.0,442.29,500.0,5.0
88,500.0,455.71,500.0,5.0
89,500.0,425.78,500.0,6.0
90,500.0,437.32,500.0,5.0
91,500.0,446.35,500.0,5.0
92,500.0,438.17,500.0,1.0
93,500.0,449.0,500.0,7.0
94,500.0,434.84,500.0,1.0
95,500.0,444.68,500.0,6.0
96,500.0,437.91,500.0,5.0
97,500.0,431.36,500.0,5.0
98,500.0,451.35,500.0,5.0
99,500.0,436.17,500.0,5.0
