Generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,-200.0,-200.0,-200.0,-200.0,0.0
1,-164.0,-199.64,-200.0,-200.0,3.5819547735838313
2,-180.0,-199.8,-200.0,-200.0,1.9899748742132408
3,-165.0,-199.01,-200.0,-200.0,5.636479397638211
4,-163.0,-198.64,-200.0,-200.0,6.1278381179662365
5,-163.0,-197.71,-200.0,-200.0,7.909860934302195
6,-150.0,-196.56,-200.0,-200.0,10.527411837674062
7,-158.0,-194.21,-200.0,-200.0,12.717149837915727
8,-136.0,-189.76,-200.0,-200.0,16.704562251073806
9,-123.0,-186.54,-200.0,-200.0,19.35686958162399
10,-125.0,-180.08,-176.5,-200.0,20.36451816272607
11,-126.0,-174.54,-167.0,-200.0,20.242736969095855
12,-125.0,-173.04,-167.0,-200.0,20.98948308081931
13,-124.0,-174.8,-167.0,-200.0,22.422310318073826
14,-117.0,-172.7,-165.5,-200.0,22.535971245988048
15,-121.0,-165.89,-161.0,-200.0,23.124400532770576
16,-120.0,-157.02,-155.0,-200.0,25.871211799991123
17,-118.0,-154.11,-153.0,-200.0,26.76710481169004
18,-118.0,-153.21,-155.0,-200.0,22.154590946347895
19,-117.0,-152.26,-154.0,-200.0,23.14502970402069
20,-119.0,-153.26,-154.0,-200.0,26.175797982105532
21,-116.0,-150.53,-153.0,-200.0,24.09956638614064
22,-117.0,-149.68,-153.0,-200.0,24.83621549270339
23,-116.0,-149.55,-151.0,-200.0,27.636705664749552
24,-116.0,-143.91,-141.5,-200.0,25.64764901506569
25,-116.0,-145.57,-126.0,-200.0,29.50737365473247
26,-116.0,-136.6,-122.0,-200.0,29.597297173897484
27,-116.0,-138.06,-122.0,-200.0,29.208498763202464
28,-117.0,-136.77,-122.0,-200.0,28.04776461681038
29,-116.0,-135.37,-122.0,-200.0,25.98370835735346
30,-116.0,-136.53,-122.0,-200.0,25.920823675184398
31,-116.0,-138.6,-122.0,-200.0,28.878711882630782
32,-116.0,-138.39,-122.0,-200.0,30.018292756251146
33,-116.0,-140.25,-122.0,-200.0,32.18707038548243
34,-116.0,-137.45,-122.0,-200.0,30.869523805850974
35,-116.0,-133.57,-121.5,-200.0,26.42962542299834
36,-116.0,-131.5,-121.0,-200.0,24.676912286588855
37,-116.0,-131.19,-122.0,-200.0,24.49028174603142
38,-116.0,-136.47,-122.0,-200.0,28.922812795438823
39,-116.0,-132.56,-121.0,-200.0,27.59323105401033
40,-116.0,-139.18,-122.0,-200.0,29.925032999146385
41,-116.0,-133.0,-121.0,-200.0,27.773728593762847
42,-116.0,-130.57,-120.0,-200.0,25.11145356207004
43,-116.0,-135.01,-121.0,-200.0,28.77238085386748
44,-116.0,-134.63,-121.0,-200.0,29.53020656886775
45,-116.0,-130.61,-119.0,-200.0,25.534641176253096
46,-116.0,-131.22,-121.0,-200.0,25.299636361023058
47,-116.0,-128.96,-120.0,-200.0,23.243029062495275
48,-116.0,-128.91,-119.5,-200.0,22.479810942265505
49,-116.0,-132.17,-119.0,-200.0,26.606410881590172
50,-116.0,-128.35,-119.0,-200.0,22.857110491048516
51,-116.0,-127.78,-119.0,-200.0,21.123721263072945
52,-116.0,-125.65,-119.0,-200.0,16.47687773821242
53,-116.0,-134.83,-121.0,-200.0,27.376287184349888
54,-116.0,-128.45,-119.0,-200.0,22.73867850161922
55,-116.0,-127.78,-121.0,-200.0,21.331938496067348
56,-116.0,-132.18,-119.5,-200.0,27.40050364500624
57,-116.0,-126.88,-119.0,-200.0,21.011558723712053
58,-116.0,-123.37,-119.0,-200.0,17.02037308639267
59,-116.0,-127.74,-121.0,-200.0,20.241353709670705
60,-116.0,-128.88,-121.0,-200.0,23.570863369847103
61,-116.0,-127.17,-119.0,-200.0,21.928545323390694
62,-115.0,-132.79,-121.0,-200.0,27.23097317394294
63,-116.0,-126.54,-119.0,-200.0,19.94613747069843
64,-114.0,-126.85,-119.0,-200.0,20.950596650215
65,-114.0,-127.46,-119.0,-200.0,22.340286479810413
66,-116.0,-129.23,-119.0,-200.0,24.324824768125254
