Generation,Max Fitness,Mean Fitness,Median Fitness,Min Fitness
0,-163.0,-199.63,-200.0,-200.0
1,-160.0,-199.6,-200.0,-200.0
2,-162.0,-199.62,-200.0,-200.0
3,-160.0,-198.9,-200.0,-200.0
4,-155.0,-198.33,-200.0,-200.0
5,-160.0,-198.24,-200.0,-200.0
6,-159.0,-197.25,-200.0,-200.0
7,-136.0,-194.91,-200.0,-200.0
8,-148.0,-194.43,-200.0,-200.0
9,-139.0,-191.54,-200.0,-200.0
10,-134.0,-186.37,-200.0,-200.0
11,-135.0,-181.02,-191.0,-200.0
12,-121.0,-168.51,-163.0,-200.0
13,-123.0,-169.79,-163.0,-200.0
14,-120.0,-168.96,-163.0,-200.0
15,-114.0,-165.93,-162.5,-200.0
16,-114.0,-160.39,-158.0,-200.0
17,-114.0,-156.16,-156.5,-200.0
18,-114.0,-154.54,-153.5,-200.0
19,-117.0,-149.01,-145.0,-200.0
20,-114.0,-152.83,-153.0,-200.0
21,-114.0,-147.66,-143.5,-200.0
22,-114.0,-148.62,-151.0,-200.0
23,-114.0,-148.87,-152.0,-200.0
24,-114.0,-150.1,-152.0,-200.0
25,-114.0,-146.97,-151.0,-200.0
26,-114.0,-151.01,-147.0,-200.0
27,-114.0,-146.14,-144.0,-200.0
28,-121.0,-149.99,-153.0,-200.0
29,-114.0,-150.9,-152.0,-200.0
30,-114.0,-146.86,-151.0,-200.0
31,-114.0,-145.97,-140.5,-200.0
32,-114.0,-148.7,-152.0,-200.0
33,-114.0,-143.22,-137.0,-200.0
34,-114.0,-142.64,-141.0,-200.0
35,-114.0,-141.84,-131.0,-200.0
36,-114.0,-144.04,-132.0,-200.0
37,-114.0,-143.19,-148.0,-200.0
38,-113.0,-141.21,-136.0,-200.0
39,-114.0,-136.79,-124.0,-200.0
40,-114.0,-135.66,-124.0,-200.0
41,-114.0,-142.61,-124.0,-200.0
42,-114.0,-139.95,-124.0,-200.0
43,-114.0,-130.28,-124.0,-200.0
44,-114.0,-137.87,-124.0,-200.0
45,-114.0,-140.75,-124.0,-200.0
46,-114.0,-137.28,-124.0,-200.0
47,-114.0,-137.96,-124.0,-200.0
48,-114.0,-137.78,-124.0,-200.0
49,-114.0,-140.62,-124.0,-200.0
50,-114.0,-135.28,-124.0,-200.0
51,-114.0,-137.39,-124.0,-200.0
52,-114.0,-139.48,-124.0,-200.0
53,-114.0,-134.52,-124.0,-200.0
54,-114.0,-138.14,-124.0,-200.0
55,-114.0,-140.26,-124.0,-200.0
56,-114.0,-132.75,-124.0,-200.0
57,-114.0,-134.98,-124.0,-200.0
58,-114.0,-135.53,-124.0,-200.0
59,-114.0,-132.46,-124.0,-200.0
60,-114.0,-138.27,-124.0,-200.0
61,-114.0,-131.43,-124.0,-200.0
62,-114.0,-136.89,-124.0,-200.0
63,-114.0,-133.85,-124.0,-200.0
64,-114.0,-128.92,-123.0,-200.0
65,-114.0,-133.93,-124.0,-200.0
66,-114.0,-135.2,-124.0,-200.0
67,-114.0,-134.92,-124.0,-200.0
68,-114.0,-130.48,-124.0,-200.0
69,-114.0,-135.45,-124.0,-200.0
70,-114.0,-133.3,-124.0,-200.0
71,-114.0,-134.77,-124.0,-200.0
72,-114.0,-137.81,-124.0,-200.0
73,-114.0,-137.73,-124.0,-200.0
74,-114.0,-135.11,-124.0,-200.0
75,-114.0,-131.69,-124.0,-200.0
76,-114.0,-129.96,-122.0,-200.0
77,-114.0,-133.54,-123.0,-200.0
78,-114.0,-130.18,-122.0,-200.0
79,-114.0,-130.99,-122.0,-200.0
80,-114.0,-129.13,-122.0,-200.0
81,-114.0,-129.22,-118.0,-200.0
82,-114.0,-130.72,-118.0,-200.0
83,-114.0,-130.41,-117.0,-200.0
84,-114.0,-129.52,-116.0,-200.0
85,-114.0,-129.44,-116.0,-200.0
86,-114.0,-130.6,-116.0,-200.0
87,-114.0,-124.76,-116.0,-200.0
88,-114.0,-128.85,-116.0,-200.0
89,-114.0,-127.43,-116.0,-200.0
90,-114.0,-132.59,-116.0,-200.0
91,-114.0,-130.07,-116.0,-200.0
92,-114.0,-132.77,-116.0,-200.0
93,-114.0,-127.92,-115.0,-200.0
94,-114.0,-132.14,-115.0,-200.0
95,-114.0,-136.92,-115.0,-200.0
96,-114.0,-132.96,-115.0,-200.0
97,-114.0,-131.99,-115.0,-200.0
98,-114.0,-132.43,-115.0,-200.0
99,-115.0,-133.6,-115.0,-200.0
