generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,-200.0,-200.0,-200.0,-200.0,0.0
1,-200.0,-200.0,-200.0,-200.0,0.0
2,-200.0,-200.0,-200.0,-200.0,0.0
3,-200.0,-200.0,-200.0,-200.0,0.0
4,-200.0,-200.0,-200.0,-200.0,0.0
5,-200.0,-200.0,-200.0,-200.0,0.0
6,-200.0,-200.0,-200.0,-200.0,0.0
7,-200.0,-200.0,-200.0,-200.0,0.0
8,-200.0,-200.0,-200.0,-200.0,0.0
9,-200.0,-200.0,-200.0,-200.0,0.0
10,-200.0,-200.0,-200.0,-200.0,0.0
11,-200.0,-200.0,-200.0,-200.0,0.0
12,-200.0,-200.0,-200.0,-200.0,0.0
13,-200.0,-200.0,-200.0,-200.0,0.0
14,-200.0,-200.0,-200.0,-200.0,0.0
15,-200.0,-200.0,-200.0,-200.0,0.0
16,-200.0,-200.0,-200.0,-200.0,0.0
17,-200.0,-200.0,-200.0,-200.0,0.0
18,-200.0,-200.0,-200.0,-200.0,0.0
19,-200.0,-200.0,-200.0,-200.0,0.0
20,-200.0,-200.0,-200.0,-200.0,0.0
21,-200.0,-200.0,-200.0,-200.0,0.0
22,-200.0,-200.0,-200.0,-200.0,0.0
23,-200.0,-200.0,-200.0,-200.0,0.0
24,-200.0,-200.0,-200.0,-200.0,0.0
25,-200.0,-200.0,-200.0,-200.0,0.0
26,-200.0,-200.0,-200.0,-200.0,0.0
27,-200.0,-200.0,-200.0,-200.0,0.0
28,-155.0,-199.55,-200.0,-200.0,4.477443466979792
29,-133.0,-199.33,-200.0,-200.0,6.666415828614357
30,-127.0,-199.27,-200.0,-200.0,7.263408290878328
31,-133.0,-199.33,-200.0,-200.0,6.666415828614357
32,-157.0,-199.57,-200.0,-200.0,4.278445979558465
33,-133.0,-199.33,-200.0,-200.0,6.666415828614357
34,-162.0,-199.62,-200.0,-200.0,3.780952261005154
35,-137.0,-199.37,-200.0,-200.0,6.268420853771708
36,-164.0,-199.64,-200.0,-200.0,3.5819547735838313
37,-165.0,-199.65,-200.0,-200.0,3.482456029873169
38,-164.0,-199.64,-200.0,-200.0,3.5819547735838313
39,-156.0,-199.56,-200.0,-200.0,4.377944723269129
40,-156.0,-199.56,-200.0,-200.0,4.377944723269129
41,-160.0,-199.6,-200.0,-200.0,3.9799497484264816
42,-159.0,-199.59,-200.0,-200.0,4.079448492137144
43,-131.0,-199.31,-200.0,-200.0,6.865413316035676
44,-160.0,-199.6,-200.0,-200.0,3.9799497484264816
45,-158.0,-199.58,-200.0,-200.0,4.178947235847805
46,-155.0,-199.55,-200.0,-200.0,4.477443466979792
47,-125.0,-199.25,-200.0,-200.0,7.46240577829965
48,-163.0,-199.63,-200.0,-200.0,3.6814535172944933
49,-159.0,-199.59,-200.0,-200.0,4.079448492137144
50,-155.0,-199.55,-200.0,-200.0,4.477443466979792
51,-155.0,-199.55,-200.0,-200.0,4.477443466979792
52,-157.0,-199.57,-200.0,-200.0,4.278445979558465
53,-157.0,-199.57,-200.0,-200.0,4.278445979558465
54,-141.0,-199.41,-200.0,-200.0,5.87042587892906
55,-132.0,-199.32,-200.0,-200.0,6.765914572325019
56,-171.0,-199.71,-200.0,-200.0,2.885463567609199
57,-161.0,-199.61,-200.0,-200.0,3.8804510047158183
58,-132.0,-199.32,-200.0,-200.0,6.765914572325019
59,-159.0,-199.59,-200.0,-200.0,4.079448492137144
60,-161.0,-199.61,-200.0,-200.0,3.8804510047158183
61,-138.0,-199.38,-200.0,-200.0,6.168922110061042
62,-157.0,-199.57,-200.0,-200.0,4.278445979558465
63,-160.0,-199.6,-200.0,-200.0,3.9799497484264816
64,-157.0,-199.57,-200.0,-200.0,4.278445979558465
65,-135.0,-199.35,-200.0,-200.0,6.467418341193026
66,-133.0,-199.33,-200.0,-200.0,6.666415828614357
67,-137.0,-199.37,-200.0,-200.0,6.268420853771708
68,-131.0,-199.31,-200.0,-200.0,6.865413316035676
69,-140.0,-199.4,-200.0,-200.0,5.969924622639721
70,-155.0,-199.55,-200.0,-200.0,4.477443466979792
71,-155.0,-199.55,-200.0,-200.0,4.477443466979792
72,-159.0,-199.59,-200.0,-200.0,4.079448492137144
73,-159.0,-199.59,-200.0,-200.0,4.079448492137144
74,-162.0,-199.62,-200.0,-200.0,3.780952261005154
75,-135.0,-199.35,-200.0,-200.0,6.467418341193026
76,-134.0,-199.34,-200.0,-200.0,6.56691708490369
77,-158.0,-199.58,-200.0,-200.0,4.178947235847805
78,-162.0,-199.29,-200.0,-200.0,4.982559583186139
79,-159.0,-199.26,-200.0,-200.0,5.210796484223886
80,-134.0,-199.34,-200.0,-200.0,6.56691708490369
81,-158.0,-199.27,-200.0,-200.0,5.168858674794659
82,-139.0,-199.08,-200.0,-200.0,6.780383469981621
83,-131.0,-199.0,-200.0,-200.0,7.497999733262199
84,-156.0,-199.25,-200.0,-200.0,5.329868666299387
85,-156.0,-199.25,-200.0,-200.0,5.329868666299387
86,-142.0,-199.42,-200.0,-200.0,5.770927135218397
87,-155.0,-199.55,-200.0,-200.0,4.477443466979792
88,-159.0,-199.28,-200.0,-200.0,5.089361453070512
89,-162.0,-199.31,-200.0,-200.0,4.855296077480754
90,-133.0,-199.02,-200.0,-200.0,7.317075918698669
91,-133.0,-199.02,-200.0,-200.0,7.317075918698669
92,-158.0,-198.89,-200.0,-200.0,6.344911346898393
93,-129.0,-198.98,-200.0,-200.0,7.679817706169852
94,-129.0,-198.27,-200.0,-200.0,10.291603373624541
95,-133.0,-198.56,-200.0,-200.0,8.578251570104479
96,-155.0,-198.83,-200.0,-200.0,6.730609184910382
97,-157.0,-198.84,-200.0,-200.0,6.662912276174736
98,-154.0,-198.08,-200.0,-200.0,8.507267481394951
99,-133.0,-198.22,-200.0,-200.0,9.138468142965756
