Generation,Max Fitness,Mean Fitness,Median Fitness,Min Fitness
0,-200.0,-200.0,-200.0,-200.0
1,-200.0,-200.0,-200.0,-200.0
2,-180.0,-199.8,-200.0,-200.0
3,-117.0,-199.17,-200.0,-200.0
4,-103.0,-198.2,-200.0,-200.0
5,-117.0,-196.91,-200.0,-200.0
6,-117.0,-197.42,-200.0,-200.0
7,-118.0,-196.96,-200.0,-200.0
8,-117.0,-196.43,-200.0,-200.0
9,-118.0,-195.45,-200.0,-200.0
10,-117.0,-193.27,-200.0,-200.0
11,-103.0,-192.0,-200.0,-200.0
12,-102.0,-192.29,-200.0,-200.0
13,-117.0,-190.21,-200.0,-200.0
14,-102.0,-186.72,-200.0,-200.0
15,-103.0,-184.55,-200.0,-200.0
16,-102.0,-182.11,-200.0,-200.0
17,-103.0,-179.24,-200.0,-200.0
18,-102.0,-175.82,-200.0,-200.0
19,-103.0,-167.59,-177.0,-200.0
20,-102.0,-164.03,-177.0,-200.0
21,-103.0,-159.88,-176.5,-200.0
22,-102.0,-152.53,-124.0,-200.0
23,-102.0,-151.01,-124.0,-200.0
24,-102.0,-145.97,-122.0,-200.0
25,-102.0,-147.97,-123.0,-200.0
26,-102.0,-147.65,-122.0,-200.0
27,-102.0,-149.65,-122.0,-200.0
28,-102.0,-145.74,-122.0,-200.0
29,-102.0,-146.53,-121.5,-200.0
30,-102.0,-148.7,-122.0,-200.0
31,-102.0,-138.68,-121.0,-200.0
32,-102.0,-136.83,-121.0,-200.0
33,-102.0,-133.46,-121.0,-200.0
34,-102.0,-136.08,-121.0,-200.0
35,-102.0,-137.19,-121.0,-200.0
36,-102.0,-130.41,-121.0,-200.0
37,-102.0,-131.0,-120.0,-200.0
38,-102.0,-132.83,-121.0,-200.0
39,-102.0,-140.2,-121.0,-200.0
40,-102.0,-135.35,-121.5,-200.0
41,-102.0,-140.98,-122.0,-200.0
42,-102.0,-136.95,-120.0,-200.0
43,-102.0,-136.25,-121.0,-200.0
44,-101.0,-131.68,-121.0,-200.0
45,-102.0,-134.49,-121.0,-200.0
46,-101.0,-133.96,-121.0,-200.0
47,-102.0,-134.89,-121.0,-200.0
48,-102.0,-134.52,-121.0,-200.0
49,-102.0,-132.8,-121.0,-200.0
50,-101.0,-129.81,-121.0,-200.0
51,-102.0,-132.25,-121.0,-200.0
52,-102.0,-131.24,-119.5,-200.0
53,-102.0,-131.29,-120.5,-200.0
54,-102.0,-128.12,-120.5,-200.0
55,-102.0,-131.55,-121.0,-200.0
56,-102.0,-130.53,-119.0,-200.0
57,-102.0,-123.69,-119.5,-200.0
58,-102.0,-128.25,-119.0,-200.0
59,-102.0,-124.68,-119.0,-200.0
60,-102.0,-124.67,-119.0,-200.0
61,-102.0,-126.75,-119.0,-200.0
62,-102.0,-124.22,-119.0,-200.0
63,-102.0,-123.66,-119.0,-200.0
64,-102.0,-131.53,-120.5,-200.0
65,-102.0,-127.27,-121.0,-200.0
66,-102.0,-126.7,-119.0,-200.0
67,-102.0,-121.36,-121.0,-200.0
68,-102.0,-129.45,-121.0,-200.0
69,-102.0,-122.47,-119.0,-200.0
70,-102.0,-128.28,-121.0,-200.0
71,-102.0,-126.98,-120.5,-200.0
72,-102.0,-129.58,-119.0,-200.0
73,-102.0,-130.45,-121.0,-200.0
74,-102.0,-121.48,-119.0,-200.0
75,-102.0,-128.66,-119.0,-200.0
76,-102.0,-125.78,-121.0,-200.0
77,-102.0,-126.1,-121.0,-200.0
78,-102.0,-128.32,-121.0,-200.0
79,-102.0,-123.62,-119.0,-200.0
80,-102.0,-123.78,-121.0,-200.0
81,-102.0,-128.62,-121.0,-200.0
82,-102.0,-124.94,-120.0,-200.0
83,-102.0,-122.95,-120.0,-200.0
84,-102.0,-123.96,-120.0,-200.0
85,-102.0,-124.64,-121.0,-200.0
86,-102.0,-124.91,-119.0,-200.0
87,-102.0,-125.17,-121.0,-200.0
88,-102.0,-126.4,-121.0,-200.0
89,-102.0,-125.74,-119.0,-200.0
90,-102.0,-122.01,-119.0,-200.0
91,-102.0,-123.58,-121.0,-200.0
92,-102.0,-122.44,-119.0,-200.0
93,-102.0,-129.39,-121.0,-200.0
94,-102.0,-126.96,-121.0,-200.0
95,-102.0,-126.71,-121.0,-200.0
96,-102.0,-130.22,-119.0,-200.0
97,-102.0,-127.52,-121.0,-200.0
98,-102.0,-125.35,-121.0,-200.0
99,-102.0,-128.71,-121.0,-200.0
